"";"Gene symbol";"2_2";"2_3";"2_4"
"161";"OSBP2";0,640669886523376;0,0828002627568853;0,32058861413476
"162";"SLC5A6";-0,557271456337415;-0,291687942173165;-0,614547874059655
"163";"SMYD3";-1,02917282858678;-0,785295710788369;-1,09907508427099
"164";"SNCA";0,636887105928091;0,697779479104313;0,803986278879962
"165";"TADA1";-0,129243656021741;0,0362382084949662;-0,521648429168406
"166";"SLC7A1";-0,370327529578749;-0,549044010499446;-0,617362901408149
"167";"GALT";0,235211513071697;0,0310531901914297;0,561717872534763
"168";"HK2";0,509912955613581;-0,272980530043303;0,473232181483538
"169";"MMS22L";-0,450103794276121;-0,0997938173681927;-0,750288382556371
"170";"DDX5";-0,185445347040625;-0,0177974101825543;-0,654246217398139
"171";"FAM199X";-0,137962438141491;-0,545033750119593;-0,237501718295024
"172";"LOC102724927";0,661600968819666;0,0554325949970367;0,609642020872167
"173";"DTL";-1,80028459931846;-0,743681672682408;-2,00166670777457
"174";"INTS9";0,041532767024816;-0,507477396323341;0,155884386409591
"175";"ZNF696";-0,642537324991268;-0,16603250935517;-0,199556706101384
"176";"GEMIN5";-0,86496004864629;-0,458123621358882;-0,220827632928327
"177";"TRIP11";0,32061244732257;-0,560052740996983;0,0474420028139555
"178";"SLC9A3R1";0,479533655014587;0,865063802614544;0,255555162660793
"179";"ZNF664";-0,257813039616832;-0,346118561951821;-0,56143946066828
"180";"GGTLC1";-0,201726366633743;-0,582451233564279;-0,0703178722621988
"181";"CEP120";-0,608693746777333;-0,181072100503489;-0,57242340556079
"182";"CHAF1B";-1,04763410169384;-1,01511486801656;-0,979858523500633
"183";"FAM192A";0,0711291298376422;-0,513861838238374;-0,0598646163801113
"184";"RAB11FIP3";0,506217937676906;-0,0467311658090456;0,419961845613932
"185";"PAX8-AS1";0,287171298566046;0,0639266933170508;0,549482412999039
"186";"NPEPL1";0,307656945447314;-0,136345960643086;0,643132383607625
"187";"TRIOBP";0,245830077133029;0,0850136501857133;0,682444785158752
"188";"ARHGDIB";1,11263888857219;0,102019914319094;0,889495686256457
"189";"CTNNA1";-0,0692673124494885;-0,713233977560507;-0,642462693788883
"190";"SLC9A5";0,623659905475356;0,0938762990197213;0,564338993666923
"191";"PNP";-0,948323016261709;-1,02499030889158;-0,888874679191736
"192";"NECAP1";-0,17092089553639;-0,000196445075008711;-0,966842305753658
"193";"LINC00998";0,0594932636864244;-0,501097521600627;-0,313798111663523
"194";"MTHFD2";-0,946639197244981;-0,691860095266771;-0,608310694086488
"195";"HMOX1";-0,464796255843664;-0,61605435268534;-0,561104678595085
"196";"TMEM116";-0,5311892681365;-0,543612793417053;-0,678941694850705
"197";"GNL2";-0,0871913079594023;-0,573996481779699;-0,253123186793071
"198";"PET117";-0,0581740215800301;-0,515071141639518;-0,163658575628437
"199";"SNORD116-19";0,525637663895369;0,133729290321271;1,04470881301769
"200";"LUCAT1";-1,1384100759723;-0,356310684582287;-0,33967608950586
"201";"lnc-B3GAT2-3";0,33532036678278;0,00580172254168598;0,580175581891447
"202";"METTL21A";-0,573603267001904;-0,408934681060301;-0,535341137956104
"203";"HIST1H1B";-1,65685266020943;-0,861354697469257;-1,11190959861444
"204";"ZNF117";1,08880875673593;0,127912383383298;1,18590449016938
"205";"CD2";2,05000730346245;1,0702514047577;1,9241511679941
"206";"OBFC1";0,504989234832945;-0,0872283739323332;0,117816236008838
"207";"TRAF4";-0,643923420997887;-0,213567204273778;-0,596023803215266
"208";"UBE2C";-0,562948252817792;-1,38081389246389;-0,820128796781621
"209";"RRP12";-0,559885462364097;-0,515022153024832;-0,382405646848915
"210";"VPS37B";-0,193861816576778;-0,541632703018748;-0,344148857083512
"211";"C1S";0,614516326639965;0,0765742638384932;0,455997024074951
"212";"ACOT8";0,42057761260477;-0,0944634773303774;0,583386782062679
"213";"ZSWIM8-AS1";-0,590639103972125;-0,257193062622305;-0,47176846411024
"214";"C10orf128";0,521271774197438;0,0678237517529814;0,161626265344934
"215";"SELM";0,655040754879003;0,0549279853153193;0,569894373983562
"216";"TOM1L1";-0,802841887602183;-0,437297682148543;-0,841030917024965
"217";"RAF1";-0,271506115385494;-0,498426828235089;-0,550272163878062
"218";"PDIA3";1,10191176932631;-0,141991446819917;0,410625762650721
"219";"E2F1";-1,09439584922936;-0,775169446374304;-0,830694457074571
"220";"MAP1LC3B";-0,924575286213532;-0,995308180527146;-1,14565595685583
"221";"P2RX6P";0,911472867118354;0,0982708854006313;0,660378750080425
"222";"WDR7";0,670593817642789;0,112448844139017;0,46829940797508
"223";"QSOX2";-0,787856570338093;-0,723620590780741;-1,04099350658964
"224";"lnc-RELT-1";-0,51726510001065;-0,0494641255122779;-0,55121077322385
"225";"lnc-DDX54-1";0,334859461249324;0,0204833181763107;0,608063529441379
"226";"SLBP";-0,620849022260138;-0,432934054553864;-0,832012956050368
"227";"CTSK";1,47217557752204;2,33069625796874;1,03051691614892
"228";"XLOC_l2_010831";0,611163830729586;0,00123899354690726;0,638986571964548
"229";"NUP188";-0,389479851501886;-0,262743365688409;-0,522943941276869
"230";"CERS2";-0,180081438142499;-0,500372336174;-0,353149096642264
"231";"GPT2";-1,05546053775487;-0,737666956510951;-0,378999178546978
"232";"ODF2";-0,237458835277195;-0,603169284509779;-0,574508141172266
"233";"CPE";1,77968223717527;0,374830607025637;1,3049443960704
"234";"NCAPD2";-0,316615967488727;-0,766677163508905;-0,393398585313493
"235";"EEF1A1";-0,487551723818999;-0,426146660722942;-0,960616189396698
"236";"AKR7A2";0,254620466948604;0,417302258819664;0,514097333047239
"237";"GOLGA2P7";-0,555639271339859;-0,957360787644716;-0,493540311216399
"238";"DNAJA3";-0,810973321380237;-0,449178093998128;-0,527454237211965
"239";"HCG8";-0,64518548691886;-0,222932928308038;-0,918162813850181
"240";"WDR1";-0,310938801086372;-0,477144850114349;-0,667991408958262
"241";"RPP40";-0,46170561684646;-0,219033991140362;-0,710121539648352
"242";"PLAT";0,107622862652522;0,277581713053938;0,649484587898645
"243";"DESI2";-0,28896936439543;-0,474182198556435;-0,593080260784006
"244";"FAM65C";1,23804548166498;0,41798783773199;1,47987397845778
"245";"ACAT1";0,0382012524634658;-0,544458677495575;-0,299596311355684
"246";"TRMT10C";-0,0865026459967777;-0,694281453237996;-0,220971859594318
"247";"NRN1";1,0930136184186;-0,0959771523976696;0,815662153015612
"248";"C17orf51";-0,607605158046694;-0,680327717865609;-0,280994668688654
"249";"GGA2";-0,191792217780701;-0,613953097130885;0,00585637410647491
"250";"VASP";0,222256966015866;-0,661322622126348;0,148676707011583
"251";"CMTR2";-0,10934396702751;-0,341679992026212;-0,672660211283831
"252";"GRN";1,65418984647962;2,538983658889;1,97919574867942
"253";"GGCT";-0,228814693228373;-0,824093759587571;-0,405083906859201
"254";"FAM195A";-0,107564208180689;-0,502233832783058;-0,105456879199793
"255";"lnc-PAPPA-AS1-1";0,344475750217007;0,0369020006705174;0,548965540898223
"256";"OVOS2";0,0257912660951682;0,0277881184504309;0,510620656487297
"257";"NLN";0,0530902354852354;-0,0769014648493931;-0,51515371459775
"258";"SPON2";1,24060870321677;-0,146898207008303;0,849586078532524
"259";"DUSP28";-0,0225160784867811;-0,666163382268222;-0,053519082746857
"260";"C1orf112";-0,661968060874533;-0,405010860570285;-0,548158412092925
"261";"LACTB2";-0,450316680154263;-0,301543379329903;-0,507233745498354
"262";"FAM71E1";0,706738905557219;0,142242906661321;0,842474392750596
"263";"LOC162137";-1,26586001600074;-0,00322294941918644;0,196939668184443
"264";"VWA1";0,450068296532447;0,0284053506784572;0,54380383318527
"265";"WDR70";0,685290510983595;0,0926725371077592;0,615573777726067
"266";"DHH";0,57817682122156;0,0140552256181992;0,291368900038182
"267";"KLHL29";-0,458245943390945;-0,504265976735136;-0,286363885912165
"268";"SLC25A36";-0,534900214325802;-0,27681086217616;-0,0391075873617084
"269";"MESDC1";-0,0295168635983915;-0,616531135814575;-0,0353373003094423
"270";"MRPL12";-0,0959260315239384;-0,639142613571035;-0,0564940584298712
"271";"GSTM5";0,628469513866025;0,0900412536046762;0,429853525724113
"272";"BRIX1";-0,428136716771146;-0,654646544767511;-0,00972079228180923
"273";"LOC101928521";-0,0954421832915056;0,00236353255939292;0,517256918604476
"274";"lnc-ZNF768-1";0,580537562528993;0,0238404467013931;0,426913214806135
"275";"KIAA0586";-0,0540347090659308;-0,668015557852263;-0,159372803947691
"276";"SNHG18";0,267665408841854;-0,252495179622183;0,512763191418843
"277";"RPS20P27";0,725566243835196;1,07781654620987;0,678039409038133
"278";"FLNA";1,41197109706216;-0,0819342012011623;0,573174091251389
"279";"UGT2B7";0,593173094723163;-0,019822305568213;0,38458829336737
"280";"AGO2";-0,667441306259358;-0,439664167867492;-0,340516758830372
"281";"MRPL38";-0,296901671025089;-0,573196044426315;-0,158938365043267
"282";"PHF8";0,655723776597139;-0,0610603237986531;0,171771914511928
"283";"CCNA2";-0,787192561005719;-0,189805603946081;-0,689349233886144
"284";"KIAA1324";0,803247038309;0,119197885487427;0,644401066634671
"285";"ATP5O";0,48336039166519;0,831195440710031;0,430690965356849
"286";"C11orf96";2,10266815276837;0,243174116744963;2,98843402593378
"287";"LOC100506674";0,564972704857601;0,0810713623228407;0,436006535620359
"288";"NONO";-0,371484225019936;-0,644515984797356;-0,331569405312719
"289";"POLD1";-1,00865677310897;-1,15521055813544;-0,793088119964857
